Chromosome	Start	Stop	Midbrain	Hindbrain	Neural-Tube	Limb
chr1	5021600	5024300	0	0	0	0
chr1	6729232	6730317	1	1	1	0
chr1	18388788	18390258	0	0	0	0
chr1	18955282	18957504	0	0	0	0
chr1	19106734	19107712	1	1	0	0
chr1	19557947	19558842	0	0	0	0
chr1	19699458	19700530	1	1	0	0
chr1	20106392	20107514	0	0	0	0
chr1	20919958	20922635	1	1	0	0
chr1	39441762	39444709	0	0	0	0
chr1	40942805	40944270	0	0	0	0
chr1	40954286	40955586	0	0	0	0
chr1	40967279	40968275	0	0	0	0
chr1	41143599	41146576	0	0	0	0
chr1	41165839	41167312	1	0	0	0
chr1	41274880	41276860	1	1	0	1
chr1	41388600	41391399	1	1	1	0
chr1	41426651	41428589	0	0	0	0
chr1	41429480	41432117	0	0	0	0
chr1	41558535	41559896	0	0	0	0
chr1	41603694	41607210	0	0	0	0
chr1	41810882	41815356	0	0	0	0
chr1	41896304	41898180	0	0	0	0
chr1	41917498	41920605	0	0	0	0
chr1	41935261	41937041	0	0	0	0
chr1	41981432	41982259	0	1	0	0
chr1	42242415	42244647	1	0	0	0
chr1	42255267	42258543	1	1	0	0
chr1	42258657	42259850	0	0	0	0
chr1	42365768	42366767	0	0	0	0
chr1	42423141	42424011	0	0	0	0
chr1	42471587	42473853	0	0	0	0
chr1	42521380	42523862	0	0	0	0
chr1	42538719	42541030	0	0	0	0
chr1	42678245	42679419	0	0	0	0
chr1	42690175	42692711	1	0	1	0
chr1	42740655	42742396	0	1	0	0
chr1	42888323	42889246	0	1	1	0
chr1	52079533	52080137	0	0	0	0
chr1	55947134	55948986	0	0	0	0
chr1	56286330	56287543	0	0	0	0
chr1	56403047	56404314	0	0	0	0
chr1	58952904	58956413	0	0	0	0
chr1	59340862	59342046	1	0	0	0
chr1	67365819	67367727	0	0	0	0
chr1	68045929	68048127	1	1	0	0
chr1	68864846	68866697	0	0	0	0
chr1	74030234	74032407	0	0	0	0
chr1	75347166	75347630	0	0	0	0
chr1	75769003	75773592	0	0	0	1
chr1	75832718	75835169	0	0	0	1
chr1	78114828	78115847	0	0	0	0
chr1	78184098	78185294	0	0	0	0
chr1	78966373	78968073	0	0	0	0
chr1	81520227	81522255	0	0	0	0
chr1	89713750	89714911	0	0	0	1
chr1	89847708	89849945	0	0	0	1
chr1	89925517	89926000	0	0	1	0
chr1	90006775	90007806	0	0	0	0
chr1	90246249	90247693	0	0	0	0
chr1	90288936	90290388	0	0	0	0
chr1	90753351	90755909	0	0	0	0
chr1	91208179	91212307	0	0	0	0
chr1	91962928	91965960	0	0	0	0
chr1	97538497	97542741	1	1	1	0
chr1	98187842	98193251	1	1	1	1
